"","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct","cond","summary.RT","summary.HITSinPCT","summary.FALSE_AND_EARLY_RESPONSES","summary.MISSES","summary.ACC_pct","summary.Too_Early","summary.Too_Slow","summary.Too_fast"
"1", 419.8,"<p><div style='font-size:40px;''><strong>Reaktionstid </strong></div></p><p class='gap-above'> Her skal du gennemføre tre forskellige tests af din reaktionstid. </p><p class='gap-above'><strong><i>Tryk på en tast for at læse instruktionen til den første.</strong></i></p>", 32,"html-keyboard-response", 0,  425,"0.0-0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 468.4,"<p><div style='font-size:25px;''><strong>Visuel simpel reaktionstid </strong></div></p><pclass='largegap-above'>I den følgende opgave vil du se en hvid kasse på skærmen.</p><div class='instr-img'><img src='img/blankbox.png'></img><p class='small'><strong>Vent!</strong></p></div><p class='gap-above'>Hver gang du ser et <strong>kryds</strong> i kassen,</p><p>skal du trykke på <strong>mellemrumstasten,</strong> så hurtigt som du kan.</p><div class='instr-img'><img src='img/cross.png'></img><p class='small'><strong>Tryk!</strong></p></div><p> Du får lov til at prøve det nogle gange først.</p><p class='gap-above'> <strong><i>Tryk på mellemrumstasten for at starte træningsrunden.</strong></i></p>", 32,"html-keyboard-response", 1,  895,"0.0-1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"img/blankbox.png",NA,"image-keyboard-response", 2, 2499,"0.0-2.0-0.0","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4", 264.9,"img/cross.png", 32,"image-keyboard-response", 3, 2769,"0.0-2.0-1.0","training_test","space",TRUE,"vis_s",NA,NA,NA,NA,NA,NA,NA,NA
"5",1333.1,"img/blankbox.png", 32,"image-keyboard-response", 4, 5021,"0.0-2.0-0.1","training_fixation","null",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6", 440.0,"img/cross.png", 32,"image-keyboard-response", 5, 5462,"0.0-2.0-1.1","training_test","space",TRUE,"vis_s",NA,NA,NA,NA,NA,NA,NA,NA
"7",1122.2,"<p>Din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 352 ms </strong></p><p>Du trykkede for tidligt 1 gange </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte</strong></i></p>", 32,"html-keyboard-response", 6, 6586,"0.0-3.0",NA,NA,NA,NA,352,100,  1,  0,NA,NA,NA,NA
"8", 627.7,"<p><strong>Nu kommer den rigtige test af din reaktionstid</strong>.</p> <p>Når du ser krydset, skal du trykke så hurtigt som du kan. </p><div class='instr-img'><div class='largegap-above'><img src='img/cross.png'></img><p class='largegap-above'>Er du klar? Opgaven handler om fart!</p><p class='smallgap-above'><strong><i>Tryk på mellemrumstasten for at starte</strong></i></p>", 32,"html-keyboard-response", 7, 7217,"0.0-4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9", 181.9,"img/blankbox.png", 32,"image-keyboard-response", 8, 9820,"0.0-5.0-0.0","fixation","null",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10", 409.4,"img/cross.png", 32,"image-keyboard-response", 9,10230,"0.0-5.0-1.0","test","space",TRUE,"vis_s",NA,NA,NA,NA,NA,NA,NA,NA
