"","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","cond","test_part","correct_response","correct","summary.rt_real","summary.ant_resp_pct","summary.fa_pct","summary.miss_pct","summary.mistakes","summary.ACC"
"1",1159.2,"<p><div style='font-size:40px;''><strong>Reaktionstid </strong></div></p><p class='gap-above'> Her skal du gennemføre tre forskellige tests af din reaktionstid. </p><p class='gap-above'><strong><i>Tryk på en tast for at læse instruktionen til den første.</strong></i></p>", 32,"html-keyboard-response", 0, 1161,"0.0-0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 595.5,"<p><div style='font-size:25px;''><strong>Auditiv reaktionstid </strong></div></p><p class='gap-above'</p<p>I den følgende opgave skal du lytte godt efter.</p><p>  Hver gang du hører en <strong>bip-lyd</strong>, skal du trykke på <strong>mellemrumstasten,</strong> så hurtigt som du kan.</p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p> Du får lov til at prøve det nogle gange først.</p><p class='gap-above'> <strong><i>Kig på krydset i midten og tryk på mellemrumstasten for at starte træningsrunden.</strong></i></p>", 32,"html-keyboard-response", 1, 1759,"0.0-1.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 2, 3463,"0.0-2.0-0.0","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"4", 280.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 3, 3746,"0.0-2.0-1.0","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"5",NA," ",NA,"html-keyboard-response", 4, 3799,"0.0-2.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 5, 6253,"0.0-2.0-0.1","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"7", 331.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 6, 6586,"0.0-2.0-1.1","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"8",NA," ",NA,"html-keyboard-response", 7, 6639,"0.0-2.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9", 504.1,"<p>Din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 306ms </strong></p><p>Du trykkede for tidligt 0 % af gangene. </p><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte.</strong></i></p>", 32,"html-keyboard-response", 8, 7144,"0.0-3.0","aud_s","feedback_training",NA,NA,306,  0,  0,  0,NA,NA
"10", 703.3,"<p><strong>Nu kommer den rigtige test af din auditive reaktionstid</strong>.</p> <p> Når du hører lyden, skal du trykke så hurtigt som du kan. </p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p>Er du klar? Opgaven handler om fart!</p><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at starte.</strong></i></p>", 32,"html-keyboard-response", 9, 7851,"0.0-4.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response",10, 9056,"0.0-5.0-0.0","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"12", 320.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",11, 9370,"0.0-5.0-1.0","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"13",NA," ",NA,"html-keyboard-response",12, 9422,"0.0-5.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response",13,10623,"0.0-5.0-0.1","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"15", 259.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",14,10888,"0.0-5.0-1.1","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"16",NA," ",NA,"html-keyboard-response",15,10940,"0.0-5.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
