"","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","cond","test_part","correct_response","correct","summary.rt_real","summary.ant_resp_pct","summary.fa_pct","summary.miss_pct","summary.mistakes","summary.ACC"
"1", 2262.8,"<p><div style='font-size:40px;''><strong>Reaktionstid </strong></div></p><p class='gap-above'> Her skal du gennemføre tre forskellige tests af din reaktionstid. </p><p class='gap-above'><strong><i>Tryk på en tast for at læse instruktionen til den første.</strong></i></p>", 32,"html-keyboard-response",  0,  2269,"0.0-0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",13678.4,"<p><div style='font-size:25px;''><strong>Auditiv reaktionstid </strong></div></p><p class='gap-above'</p<p>I den følgende opgave skal du lytte godt efter.</p><p>  Hver gang du hører en <strong>bip-lyd</strong>, skal du trykke på <strong>mellemrumstasten,</strong> så hurtigt som du kan.</p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p> Du får lov til at prøve det nogle gange først.</p><p class='gap-above'> <strong><i>Kig på krydset i midten og tryk på mellemrumstasten for at starte træningsrunden.</strong></i></p>", 32,"html-keyboard-response",  1, 15962,"0.0-1.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response",  2, 18165,"0.0-2.0-0.0","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"4",  389.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",  3, 18551,"0.0-2.0-1.0","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"5",NA," ",NA,"html-keyboard-response",  4, 18605,"0.0-2.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response",  5, 20056,"0.0-2.0-0.1","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"7",  240.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",  6, 20303,"0.0-2.0-1.1","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"8",NA," ",NA,"html-keyboard-response",  7, 20356,"0.0-2.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response",  8, 21809,"0.0-2.0-0.2","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"10",  251.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",  9, 22066,"0.0-2.0-1.2","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"11",NA," ",NA,"html-keyboard-response", 10, 22123,"0.0-2.0-2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 11, 24326,"0.0-2.0-0.3","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"13",  229.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 12, 24561,"0.0-2.0-1.3","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"14",NA," ",NA,"html-keyboard-response", 13, 24615,"0.0-2.0-2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 14, 26069,"0.0-2.0-0.4","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"16",  240.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 15, 26311,"0.0-2.0-1.4","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"17",NA," ",NA,"html-keyboard-response", 16, 26365,"0.0-2.0-2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 17, 28318,"0.0-2.0-0.5","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"19",  211.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 18, 28534,"0.0-2.0-1.5","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"20",NA," ",NA,"html-keyboard-response", 19, 28587,"0.0-2.0-2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 20, 29540,"0.0-2.0-0.6","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"22",  259.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 21, 29806,"0.0-2.0-1.6","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"23",NA," ",NA,"html-keyboard-response", 22, 29861,"0.0-2.0-2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24", 1597.1,"<div style=""font-size:80px;"">+</div>", 32,"html-keyboard-response", 23, 32313,"0.0-2.0-0.7","aud_s","training_fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"25",  221.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 24, 32534,"0.0-2.0-1.7","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"26",NA," ",NA,"html-keyboard-response", 25, 32589,"0.0-2.0-2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",18149.6,"<p>Din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 255ms </strong></p><p>Du trykkede for tidligt 13 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte.</strong></i></p>", 32,"html-keyboard-response", 26, 50741,"0.0-3.0","aud_s","feedback_training",NA,NA,255,  0, 13,  0,NA,NA
"28", 4843.8,"<p><strong>Nu kommer den rigtige test af din auditive reaktionstid</strong>.</p> <p> Når du hører lyden, skal du trykke så hurtigt som du kan. </p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p>Er du klar? Opgaven handler om fart!</p><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at starte</strong></i></p>", 32,"html-keyboard-response", 27, 55587,"0.0-4.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 28, 58142,"0.0-5.0-0.0","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"30",  219.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 29, 58363,"0.0-5.0-1.0","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"31",NA," ",NA,"html-keyboard-response", 30, 58415,"0.0-5.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 31, 59370,"0.0-5.0-0.1","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"33",  280.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 32, 59655,"0.0-5.0-1.1","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"34",NA," ",NA,"html-keyboard-response", 33, 59711,"0.0-5.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 34, 61665,"0.0-5.0-0.2","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"36",  251.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 35, 61922,"0.0-5.0-1.2","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"37",NA," ",NA,"html-keyboard-response", 36, 61975,"0.0-5.0-2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 37, 63680,"0.0-5.0-0.3","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"39",  240.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 38, 63918,"0.0-5.0-1.3","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"40",NA," ",NA,"html-keyboard-response", 39, 63970,"0.0-5.0-2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 40, 65924,"0.0-5.0-0.4","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"42",  251.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 41, 66176,"0.0-5.0-1.4","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"43",NA," ",NA,"html-keyboard-response", 42, 66230,"0.0-5.0-2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 43, 67432,"0.0-5.0-0.5","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"45",  261.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 44, 67687,"0.0-5.0-1.5","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"46",NA," ",NA,"html-keyboard-response", 45, 67740,"0.0-5.0-2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 46, 69440,"0.0-5.0-0.6","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"48",  269.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 47, 69709,"0.0-5.0-1.6","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"49",NA," ",NA,"html-keyboard-response", 48, 69763,"0.0-5.0-2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 49, 72219,"0.0-5.0-0.7","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"51",  259.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 50, 72476,"0.0-5.0-1.7","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"52",NA," ",NA,"html-keyboard-response", 51, 72530,"0.0-5.0-2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 52, 74485,"0.0-5.0-0.8","aud_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
