"","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","cond","test_part","correct_response","correct","summary.rt_real","summary.ant_resp_pct","summary.fa_pct","summary.miss_pct","summary.mistakes","summary.ACC"
"1", 530.7,"<p><div style='font-size:40px;''><strong>Reaktionstid </strong></div></p><p class='gap-above'> Her skal du gennemføre tre forskellige tests af din reaktionstid. </p><p class='gap-above'><strong><i>Tryk på en tast for at læse instruktionen til den første.</strong></i></p>", 32,"html-keyboard-response", 0,  538,"0.0-0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 453.8,"<p><div style='font-size:25px;''><strong>Auditiv reaktionstid </strong></div></p><p class='gap-above'</p<p>I den følgende opgave skal du lytte godt efter.</p><p>  Hver gang du hører en <strong>bip-lyd</strong>, skal du trykke på <strong>mellemrumstasten,</strong> så hurtigt som du kan.</p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p> Du får lov til at prøve det nogle gange først.</p><p class='gap-above'> <strong><i>Kig på krydset i midten og tryk på mellemrumstasten for at starte træningsrunden.</strong></i></p>", 32,"html-keyboard-response", 1,  993,"0.0-1.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"3", 198.3,"<div style=""font-size:80px;"">+</div>", 32,"html-keyboard-response", 2, 2695,"0.0-2.0-0.0","aud_s","training_fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"4",   0.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 3, 2697,"0.0-2.0-1.0","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"5",NA," ",NA,"html-keyboard-response", 4, 2750,"0.0-2.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6", 146.1,"<div style=""font-size:80px;"">+</div>", 32,"html-keyboard-response", 5, 5201,"0.0-2.0-0.1","aud_s","training_fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"7", 309.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 6, 5512,"0.0-2.0-1.1","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"8",NA," ",NA,"html-keyboard-response", 7, 5563,"0.0-2.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"<div style=""font-size:80px;"">+</div>",NA,"html-keyboard-response", 8, 7765,"0.0-2.0-0.2","aud_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"10", 248.0,"sounds/452sine.mp3", 32,"audio-keyboard-response", 9, 8017,"0.0-2.0-1.2","aud_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"11",NA," ",NA,"html-keyboard-response",10, 8068,"0.0-2.0-2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12", 627.5,"<p>Din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 279ms </strong></p><p>Du trykkede for tidligt 67 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte</strong></i></p>", 32,"html-keyboard-response",11, 8697,"0.0-3.0","aud_s","feedback_training",NA,NA,279, 33, 67,  0,NA,NA
"13", 454.6,"<p><strong>Nu kommer den rigtige test af din auditive reaktionstid</strong>.</p> <p> Når du hører lyden, skal du trykke så hurtigt som du kan. </p><p class='largegap-above'</p<p><div style='font-size:80px;''>+</div></p><p class='largegap-above'</p<p>Er du klar? Opgaven handler om fart!</p><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at starte</strong></i></p>", 32,"html-keyboard-response",12, 9153,"0.0-4.0","aud_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"14", 403.2,"<div style=""font-size:80px;"">+</div>", 32,"html-keyboard-response",13,10205,"0.0-5.0-0.0","aud_s","fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"15", 248.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",14,10456,"0.0-5.0-1.0","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"16",NA," ",NA,"html-keyboard-response",15,10507,"0.0-5.0-2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1693.4,"<div style=""font-size:80px;"">+</div>", 32,"html-keyboard-response",16,12208,"0.0-5.0-0.1","aud_s","fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"18", 421.0,"sounds/452sine.mp3", 32,"audio-keyboard-response",17,12633,"0.0-5.0-1.1","aud_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"19",NA," ",NA,"html-keyboard-response",18,12684,"0.0-5.0-2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20", 915.7,"<p>Din gennemsnitlige reaktionstid var </p><p><strong> 335 ms </strong></p><p>Du trykkede for tidligt 100 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at afslutte den auditive reaktionstids-test</strong></i></p>", 32,"html-keyboard-response",19,13601,"0.0-6.0","aud_s","feedback_real",NA,NA,335,  0,100,  0,NA,NA
"21", 534.4,"<p><div style='font-size:25px;''><strong>Visuel simpel reaktionstid </strong></div></p><pclass='largegap-above'>I den følgende opgave vil du se en hvid kasse på skærmen.</p><div class='instr-img'><img src='img/blankbox.png'></img><p class='small'><strong>Vent!</strong></p></div><p class='gap-above'>Hver gang du ser et <strong>kryds</strong> i kassen,</p><p>skal du trykke på <strong>mellemrumstasten,</strong> så hurtigt som du kan.</p><div class='instr-img'><img src='img/cross.png'></img><p class='small'><strong>Tryk!</strong></p></div><p> Du får lov til at prøve det nogle gange først.</p><p class='gap-above'> <strong><i>Tryk på mellemrumstasten for at starte træningsrunden.</strong></i></p>", 32,"html-keyboard-response",20,14137,"0.0-7.0","vis_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"22", 396.9,"img/blankbox.png", 32,"image-keyboard-response",21,16408,"0.0-8.0-0.0","vis_s","training_fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"23", 351.9,"img/cross.png", 32,"image-keyboard-response",22,16761,"0.0-8.0-1.0","vis_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"24",NA,"img/blankbox.png",NA,"image-keyboard-response",23,17763,"0.0-8.0-0.1","vis_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"25", 269.4,"img/cross.png", 32,"image-keyboard-response",24,18033,"0.0-8.0-1.1","vis_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"26",NA,"img/blankbox.png",NA,"image-keyboard-response",25,19036,"0.0-8.0-0.2","vis_s","training_fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"27", 251.8,"img/cross.png", 32,"image-keyboard-response",26,19288,"0.0-8.0-1.2","vis_s","training_test","space",TRUE,NA,NA,NA,NA,NA,NA
"28",1055.6,"<p>Din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 286ms </strong></p><p>Du trykkede for tidligt 50 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte</strong></i></p>", 32,"html-keyboard-response",27,20344,"0.0-9.0","aud_s","feedback_training",NA,NA,286, 17, 50,  0,NA,NA
"29", 398.3,"<p><strong>Nu kommer den rigtige test af din reaktionstid</strong>.</p> <p>Når du ser krydset, skal du trykke så hurtigt som du kan. </p><div class='instr-img'><div class='largegap-above'><img src='img/cross.png'></img><p class='largegap-above'>Er du klar? Opgaven handler om fart!</p><p class='smallgap-above'><strong><i>Tryk på mellemrumstasten for at starte</strong></i></p>", 32,"html-keyboard-response",28,20744,"0.0-10.0","vis_s","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"30",1663.3,"img/blankbox.png", 32,"image-keyboard-response",29,22746,"0.0-11.0-0.0","vis_s","fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"31", 286.0,"img/cross.png", 32,"image-keyboard-response",30,23033,"0.0-11.0-1.0","vis_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"32",NA,"img/blankbox.png",NA,"image-keyboard-response",31,24784,"0.0-11.0-0.1","vis_s","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"33", 328.4,"img/cross.png", 32,"image-keyboard-response",32,25114,"0.0-11.0-1.1","vis_s","test","space",TRUE,NA,NA,NA,NA,NA,NA
"34", 614.4,"<p>Din gennemsnitlige reaktionstid var </p><p><strong> 321 ms </strong></p><p>Du trykkede for tidligt 75 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at afslutte den auditive reaktionstids-test</strong></i></p>", 32,"html-keyboard-response",33,25729,"0.0-12.0","aud_s","feedback_real",NA,NA,321,  0, 75,  0,NA,NA
"35", 862.8,"<p><div style='font-size:25px;'><strong>Visuel kompleks reaktionstids-test </strong></div></p><p class='gap-above'>I den følgende opgave skal du bruge fire fingre. </p><p>Placer dem nu som vist på billedet her. </p><p> <img src='img/choicetask.png'></img><p class='gap-above'> <strong><i>Tryk på mellemrumstasten for at læse instruktionen</strong></i></p>", 32,"html-keyboard-response",34,26593,"0.0-13.0","vis_ch","instructions",NA,NA,NA,NA,NA,NA,NA,NA
